"id","partName","partDescription","partCode","partMake","partModel","partLastPrice","partAccount","partChargeDepartment","partNotes","partBarcode","partInventoryCode","partCategory_id"
"67","بوشن نمره ۶ پلیکا ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"68","بوشن نمره ۶ گالوانیزه ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"69","بوشن نمره ۸ پلیکا ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"70","بی متال ۶-۱ / ۱ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"71","بی متال ۱۱۰- ۱۶۰ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"72","بی متال ۲۲- ۳۲ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"73","بی متال ۲۵-۱۷ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"74","بی متال ۳۲- ۱۵ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"75","بی متال ۳۲- ۲۳ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"76","بی متال ۴-۲ / ۵ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"77","بی متال ۵۰- ۳۲ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"78","بی متال ۵۰- ۳۷ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"79","پارچه متقال ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"80","پایه بکس ۱۰ آمپر ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"81","پایه بکس ۲۵ آمپر ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"82","پایه بکس ۶۳ آمپر ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"83","پایه چراغ پارکی ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"84","پایه چراغ خیابانی ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"85","پایه رله",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"86","پایه سینی کابل ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"87","پایه فیوز کتابی ۱۶۰ آمپر ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"88","پایه کلید گردان ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"89","پایه مقره ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"90","پایه مهتابی کم مصرف ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"91","پایه مهتابی گرد کوچک ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"92","پایه مهتابی معمولی ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"95","پروانه پمپ کولر ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"96","پروانه ۴۰ سانت سر شفت ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"97","پریز برق - توکار ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"98","پریز برق ارتدار - توکار",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"99","پریز برق سه فاز بارانی ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"100","پریز تلفن - توکار ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"101","پریز تلفن تک پورت ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"102","پریز آنتن توکار ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"103","پل نمره ۲/۵ وحید ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"104","پمپ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"105","پمپ خطی ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"106","پمپ فلاش تانک ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"107","پمپ کولر - نو ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
